filename,title,year,document_type,primary_topics,policy_domain,geographic_scope,methodology,core_mechanisms,notes,compliance
1-24-texas-family-handbook.pdf,"A Pro-Family Handbook for Texas: Shaping Policy, Renewing Culture",2024,Policy handbook / state-level framework,Family formation; marriage; fertility; pro-family policy design,State family policy; tax and benefits; housing; childcare; education,Texas (state-specific),Policy synthesis; legislative analysis; applied research translation,Economic incentives; institutional design; cultural reinforcement of family formation,Normative policy orientation; frame as policy options rather than empirical claims,
10-23-model-social-media-bill-summaryweb-2.pdf,Model Social Media Bill (Summary),2022,Policy brief / legislative summary,Social media; child well-being; online harms; platform accountability,Technology policy; youth protection; consumer regulation,United States (model legislation),Policy design; comparative legislative analysis,Platform regulation; age-based safeguards; design standards,Pair with empirical research in scholarly or donor-facing contexts,
10-23-model-social-media-billweb.pdf,Model Social Media Bill,2023,Model legislation,Social media governance; youth mental health; digital safety,Technology regulation; child welfare,United States (state-level adoption),Normative policy drafting,Regulatory standards; enforcement mechanisms; compliance incentives,Explicitly prescriptive; do not present as empirical research,
20241122134105177finalsocial-science-scholars-amicus-brief.pdf,Social Science Scholars’ Amicus Brief on Online Harms and Minors,2024,Amicus brief (social science),Social science evidence; online harms; minors; constitutional considerations,Constitutional law; technology policy; child protection,United States (federal judiciary),Interdisciplinary literature review; expert synthesis,Evidence-based judicial reasoning; risk mitigation for minors,High credibility; useful to signal scholarly seriousness rather than advocacy,
2final-ifs-homesforyoungfamilies-apartments-09-30-25.pdf,"Homes for Young Families, Part II: Americans Are Willing to Pay for Family-Friendly Apartments",2025,Research report / policy analysis,Housing affordability; family formation; young families; urban development,Housing policy; zoning; land use; family economics,United States (national),Descriptive analysis; policy evaluation; secondary data synthesis,Housing supply constraints; cost-of-living pressures; timing of family formation,Strong donor- and board-facing material on material supports for family stability,
5th-circuit-age-verification-ruling.pdf,Fifth Circuit Age Verification Ruling,2024,Legal analysis / case summary,Online safety; age verification; minors; pornography regulation,Technology regulation; constitutional law; child protection,United States (Fifth Circuit),Judicial opinion analysis; legal interpretation,Regulatory enforcement; age-gating; legal constraints on platform behavior,"High sensitivity; frame as child protection and legal analysis, not culture war",
atlanta-report.pdf,Renewing Marriage and the American Dream: Georgia Baseline Report,2016,City-level research report,Family structure; urban inequality; demographic trends,Urban policy; family demography; social services,Atlanta metropolitan area,Descriptive demographic analysis; administrative and survey data,Neighborhood effects; family instability; institutional context,Effective example of applying national research to local context,
cohabitationreportapr2023-final.pdf,"What’s the Plan? Cohabitation, Engagement, and Divorce",2023,Research report,Cohabitation; marriage; relationship stability; family formation,Family demography; marriage policy; social outcomes,United States,Quantitative analysis; longitudinal and survey data,Relationship sequencing; institutional commitment; stability versus fragility,Core IFS research pillar; interview- and donor-safe when framed descriptively,
dividedstatereport-final102121.pdf,The Divided State of Our Unions: Family Formation in Post-COVID-19 America,2021,Research synthesis / national report,Family structure; inequality; social fragmentation,Social policy; family demography; economic mobility,United States (national with regional variation),Secondary data synthesis; comparative analysis,Family instability; intergenerational transmission; institutional divergence,Avoid deterministic framing in public-facing narratives,
family-structure-index-summary (1).pdf,Family Structure Index Summary,2025,Index summary / data brief,Family structure; marriage; child outcomes; social capital,Family demography; social indicators,United States (state-level comparisons),Index construction; composite indicators; descriptive statistics,Family stability; household composition; aggregate social effects,Excellent board- and donor-facing artifact; avoid causal overclaims,
